"repetition";"outer_fold";"best_n_features";"best_alpha";"best_lambda";"outer_accuracy"
75;3;15;1;0,005;0,617647058823529
76;1;25;1;0,001;0,696969696969697
76;2;15;1;0,001;0,794117647058823
76;3;25;1;0,005;0,757575757575758
77;1;25;1;0,005;0,852941176470588
77;2;20;1;0,005;0,705882352941177
77;3;15;0;0,001;0,625
78;1;20;1;0,002;0,757575757575758
78;2;20;0;0,001;0,794117647058823
78;3;20;1;0,001;0,545454545454545
79;1;25;1;0,001;0,558823529411765
79;2;15;1;0,005;0,787878787878788
79;3;20;0;0,001;0,575757575757576
80;1;20;1;0,001;0,735294117647059
80;2;20;1;0,005;0,818181818181818
80;3;20;1;0,001;0,757575757575758
81;1;20;1;0,001;0,545454545454545
81;2;20;1;0,005;0,818181818181818
81;3;25;1;0,002;0,705882352941177
82;1;15;0;0,005;0,666666666666667
82;2;20;0;0,001;0,764705882352941
82;3;15;1;0,002;0,636363636363636
83;1;20;1;0,001;0,8125
83;2;25;1;0,005;0,852941176470588
83;3;25;1;0,005;0,705882352941177
84;1;20;1;0,001;0,75
84;2;15;1;0,001;0,764705882352941
84;3;25;0;0,001;0,647058823529412
85;1;25;1;0,005;0,696969696969697
85;2;25;0;0,001;0,606060606060606
85;3;15;0;0,001;0,735294117647059
86;1;15;1;0,002;0,636363636363636
86;2;15;1;0,001;0,823529411764706
86;3;25;1;0,002;0,878787878787879
87;1;25;1;0,001;0,696969696969697
87;2;25;1;0,002;0,666666666666667
87;3;20;0;0,002;0,764705882352941
88;1;25;1;0,001;0,666666666666667
88;2;25;1;0,001;0,757575757575758
88;3;20;1;0,005;0,558823529411765
89;1;25;1;0,005;0,735294117647059
89;2;20;1;0,002;0,71875
89;3;25;0;0,001;0,764705882352941
90;1;25;1;0,002;0,75
90;2;25;1;0,005;0,794117647058823
90;3;25;1;0,005;0,852941176470588
91;1;25;0;0,002;0,676470588235294
91;2;25;1;0,001;0,787878787878788
91;3;25;1;0,005;0,818181818181818
92;1;20;1;0,001;0,787878787878788
92;2;25;1;0,002;0,787878787878788
92;3;15;0;0,001;0,676470588235294
93;1;15;1;0,005;0,647058823529412
93;2;15;0;0,002;0,75
93;3;25;0;0,001;0,764705882352941
94;1;15;0;0,001;0,696969696969697
94;2;20;0;0,002;0,794117647058823
94;3;20;1;0,005;0,666666666666667
95;1;25;0;0,005;0,727272727272727
95;2;15;1;0,005;0,666666666666667
95;3;25;1;0,002;0,705882352941177
96;1;15;0;0,001;0,666666666666667
96;2;20;1;0,002;0,647058823529412
96;3;20;1;0,001;0,636363636363636
97;1;25;1;0,001;0,735294117647059
97;2;25;1;0,005;0,666666666666667
97;3;20;1;0,001;0,787878787878788
98;1;15;1;0,005;0,787878787878788
98;2;20;1;0,005;0,606060606060606
98;3;25;1;0,001;0,823529411764706
99;1;20;1;0,005;0,636363636363636
99;2;25;1;0,005;0,735294117647059
99;3;25;0;0,005;0,878787878787879
100;1;20;1;0,005;0,818181818181818
100;2;15;0;0,002;0,666666666666667
100;3;15;1;0,005;0,735294117647059
